Fecha;Nemotécnico;Rueda;Último precio;Precio máximo;Precio promedio ponderado;Precio minimo;Última tasa;Tasa máxima;Tasa promedio ponderada;Tasa mímima;Variación porcentual;Variacion pbs;Cantidad;Volumen
2023-03-03;TFIT11090233;ASPT;101.306;101.306;101.306;101.306;13.000;13.000;13.000;13.000;2.97;-54.60;1,000,000,000.00;1,021,046,000.00
2023-03-14;TFIT11090233;ASPT;104.353;104.353;104.353;104.353;12.450;12.450;12.450;12.450;3.01;-54.60;1,000,000,000.00;1,055,509,000.00
2023-04-12;TFIT11090233;ASPT;108.620;108.680;108.476;108.440;11.710;11.740;11.734;11.700;4.09;-72.80;43,000,000,000.00;47,612,301,000.00
2023-04-13;TFIT11090233;ASPT;109.405;109.405;109.405;109.405;11.580;11.580;11.580;11.580;0.72;-12.90;1,000,000,000.00;1,116,920,000.00
2023-04-14;TFIT11090233;ASPT;109.341;109.341;109.341;109.341;11.590;11.590;11.590;11.590;-0.06;1.10;1,000,000,000.00;1,116,643,000.00
2023-04-17;TFIT11090233;ASPT;108.727;108.727;108.681;108.667;11.690;11.700;11.697;11.690;-0.56;10.20;12,000,000,000.00;13,333,524,000.00
2023-04-18;TFIT11090233;ASPT;108.966;108.966;108.947;108.906;11.650;11.660;11.653;11.650;0.22;-3.90;4,000,000,000.00;4,456,600,000.00
2023-04-20;TFIT11090233;ASPT;109.203;109.203;108.966;108.852;11.610;11.668;11.649;11.610;0.22;-3.90;6,000,000,000.00;6,690,416,000.00
2023-04-21;TFIT11090233;ASPT;109.140;109.267;109.217;109.140;11.620;11.620;11.607;11.599;-0.06;1.10;10,000,000,000.00;11,179,430,000.00
2023-04-24;TFIT11090233;ASPT;109.893;109.893;109.451;109.235;11.495;11.603;11.567;11.495;0.69;-12.30;14,500,000,000.00;16,259,968,500.00
2023-04-26;TFIT11090233;ASPT;109.218;109.230;109.128;108.710;11.605;11.689;11.619;11.603;-0.61;11.10;8,500,000,000.00;9,510,426,500.00
2023-05-03;TFIT11090233;ASPT;107.938;107.938;107.938;107.938;11.815;11.815;11.815;11.815;-1.17;21.30;1,000,000,000.00;1,109,510,000.00
2023-05-04;TFIT11090233;ASPT;108.925;108.925;108.495;107.787;11.650;11.840;11.721;11.650;0.91;-16.40;16,500,000,000.00;18,404,824,500.00
2023-05-05;TFIT11090233;ASPT;109.529;109.529;109.418;109.225;11.550;11.600;11.568;11.550;0.55;-9.90;5,500,000,000.00;6,187,708,000.00
2023-05-08;TFIT11090233;ASPT;110.132;110.132;110.124;110.070;11.450;11.460;11.451;11.450;0.55;-9.80;4,500,000,000.00;5,099,312,500.00
2023-05-09;TFIT11090233;ASPT;110.068;110.191;110.039;109.823;11.460;11.500;11.464;11.440;-0.06;1.10;4,500,000,000.00;5,097,131,000.00
2023-05-10;TFIT11090233;ASPT;109.759;110.618;110.059;109.607;11.510;11.535;11.461;11.370;-0.28;5.10;11,000,000,000.00;12,465,906,000.00
2023-05-11;TFIT11090233;ASPT;110.431;110.431;110.125;109.818;11.400;11.500;11.449;11.400;0.61;-10.90;2,000,000,000.00;2,268,558,000.00
2023-05-12;TFIT11090233;ASPT;110.984;111.040;110.763;110.435;11.310;11.399;11.345;11.301;0.50;-8.90;13,500,000,000.00;15,403,819,500.00
2023-05-15;TFIT11090233;ASPT;112.036;112.036;111.633;111.342;11.140;11.251;11.204;11.140;0.95;-16.80;22,500,000,000.00;25,893,255,000.00
2023-05-16;TFIT11090233;ASPT;112.159;112.159;112.008;111.807;11.120;11.176;11.144;11.120;0.11;-1.90;4,000,000,000.00;4,619,726,000.00
2023-05-17;TFIT11090233;ASPT;112.092;112.781;112.544;112.092;11.130;11.130;11.058;11.021;-0.06;1.10;16,000,000,000.00;18,570,367,000.00
2023-05-18;TFIT11090233;ASPT;111.670;111.902;111.706;111.651;11.197;11.200;11.191;11.160;-0.38;6.80;13,000,000,000.00;14,984,260,000.00
2023-05-19;TFIT11090233;ASPT;110.478;111.151;110.937;110.478;11.389;11.389;11.314;11.280;-1.07;19.30;5,500,000,000.00;6,299,169,000.00
2023-05-23;TFIT11090233;ASPT;110.094;110.234;110.165;110.094;11.450;11.450;11.438;11.427;-0.35;6.30;10,500,000,000.00;11,959,895,000.00
2023-05-24;TFIT11090233;ASPT;110.520;110.575;110.454;110.213;11.380;11.430;11.390;11.371;0.39;-6.90;14,000,000,000.00;15,992,122,000.00
2023-05-25;TFIT11090233;ASPT;110.107;110.456;110.224;110.107;11.447;11.447;11.427;11.390;-0.37;6.80;10,000,000,000.00;11,403,520,000.00
2023-05-29;TFIT11090233;ASPT;111.248;111.310;110.992;110.754;11.260;11.340;11.301;11.250;1.04;-18.50;13,000,000,000.00;14,943,369,000.00
2023-05-30;TFIT11090233;ASPT;111.699;111.805;111.641;111.556;11.187;11.210;11.196;11.170;0.41;-7.20;5,500,000,000.00;6,359,906,000.00
2023-05-31;TFIT11090233;ASPT;111.878;112.147;111.952;111.878;11.158;11.158;11.146;11.115;0.16;-2.80;5,000,000,000.00;5,799,065,000.00
2023-06-01;TFIT11090233;ASPT;110.869;112.239;111.195;110.500;11.320;11.380;11.267;11.100;-0.90;16.30;9,000,000,000.00;10,373,442,000.00
